author,comment,published_at,likes
@ritwik-chakraborty,Hai errictoto love from India...you are really a good coder...can you make one discord server for more helps of other coders...,2020-04-04T14:01:08Z,0
@skyhi8958,i see i will try hard To Become Red Coder thank you,2020-04-04T11:50:25Z,0
@tej7725,That English accent of yours is kinda cool,2020-04-04T09:55:59Z,0
@jaspreetsingh8980,How do you keep your thoughts organised? When i read a problem my thoughts start racing in my head. Is it the same with you sir?,2020-04-04T09:17:14Z,0
@anubhavsinghal9218,"I can never forget this April fool joke, it literally fucked me for a sec.",2020-04-04T06:23:57Z,0
@hiranmoychowdhury5843,can you make an video on Edmonds Algorithm??,2020-04-04T01:37:04Z,0
@eudisd,I love the awkward pauses and re-starts.  Keep up the great work!,2020-04-03T19:08:58Z,7
@cocoarecords,Thanks,2020-04-03T18:48:07Z,0
@__shaun_,"Codeforces(X)
Mathforces(O)",2020-04-03T18:43:10Z,0
@abulhasnattonmoy,please upload a video about your coding biography,2020-04-03T14:02:57Z,0
@nonamehere9658,"DOES EVERY RED CODER HAVE A TEDDY BEAR?!?!?! ANSWER PLEASE, SIR!!!111ONE",2020-04-03T12:45:19Z,0
@purushottamparakh5165,"Hi Erichto, My questions are : 1. How do you elaborate all the test cases. I always miss some test cases. 2. I always try to solve a problem totally based on previous experience and end up writing very complex codes, The solution might be very straightforward but I could never think anything out of box. That irritates me a lot. 3. Off-by-one error is a real problem I face. How do you resolve such problem.",2020-04-03T09:27:24Z,0
@mythorganizer4222,0:32 that helped me very much thanks bye bye :D,2020-04-03T06:04:05Z,0
@unstable_diffusion,Errichto is the only person who can fire Google,2020-04-03T04:03:15Z,0
@brooksgunn5235,"""I'm never joking"" but at 0:00 you said to ME ""Hello Programmers"", lol!",2020-04-03T03:33:24Z,254
@abdessalam8468,Please i need course c++,2020-04-03T00:11:39Z,0
@gorge9774,A mógłbyś zrobić poradniki po polsku ? 😅😃,2020-04-02T23:43:53Z,0
@MohamedRT,"Personally I loved the fourth tip, I think it relates most, and more effective!",2020-04-02T22:19:29Z,0
@DeepakYadav-rx2qg,"Hi Erichto,
I am currently working in an IT company. Will it be a good time for me to start competitive programing?",2020-04-02T21:31:57Z,0
@gorgono1,Tip #1: learn to code,2020-04-02T21:15:24Z,0
@damercy,Kamil's the best!,2020-04-02T19:26:47Z,0
@premkumars6510,"How to become red pranker! 
5 tips: 1) Don't say video is over in 1st min .. 2)to 5) Don't ask.",2020-04-02T18:49:07Z,0
@sherlock-z1d,What are your favorites books on C++ ?,2020-04-02T18:42:35Z,0
@anakinskywalkerrr,"Beside the good tips, keep the humor too bro lol",2020-04-02T17:46:56Z,0
@narayanbhat3279,I hardly see you laugh,2020-04-02T17:38:15Z,0
@abhishek-hb1vg,"Hey i have been following you for a while now. And what i have come to notice is that you r quiet a legend in the competitive reprogramming world.
 I am a selftaught programmer and currently iam doing an internship as a react developer. So i have started learning DS and Algorithm  but i didn't find a good website to practice using JavaScipt can you give some suggestion.",2020-04-02T17:22:36Z,1
@AMG-gc4io,I need someone to help about a program problem,2020-04-02T15:47:51Z,1
@zillboy,"Hah, I really thought he's gone!😂",2020-04-02T14:39:23Z,2
@johnhammer8668,"I thought you are going to recommend a C++ book looking at the thumbnail.
Why do competitive programmers choose the most difficult language C++ ?
What book did you and other competitive programmers use to learn C++ ? More Effective C++ ?
Do the competitive programmers ever use templates in the competitions ?
Thanks so much Errichto. Visiting your channel is like visiting a rich friends home, where there are lots of cool things .",2020-04-02T14:13:52Z,1
@AshishKumar-kz2sp,"Hey there, I a new at coding and knows only basics, I started solving problems on codeforce but the all the problems seems to hard for me, i can hardly solve 2 problems from 10. What should i do to do better in it.",2020-04-02T14:08:04Z,0
@kajetanwojnarowski2693,"Polska uczyć jak być czerwonym, no co się dzieje!

Dobre rady btw 😁",2020-04-02T13:05:52Z,0
@infofan4824,"Jaka jest maksymalna liczba słów, które możesz wpisać na minutę na komputerze?",2020-04-02T11:50:19Z,0
@rawtechfun2581,What according to u is a medium level coder on codeforces ratingwise?,2020-04-02T10:53:05Z,0
@JamiulBari,Did you forget to talk about those books?,2020-04-02T10:05:03Z,0
@divyenayy5973,When should we start doing leetcode questions??,2020-04-02T09:59:28Z,1
@alradi1041,"Sometimes I spend more than 30 minutes to solve a problem and usually I get somewhere, but takes more time. Are you suggesting that we look at editorial if we're 100% clueless about a problem for 30 mins? What if 70% clueless",2020-04-02T09:32:26Z,0
@HuzaifaJalali,"I listened to it 3 times, still I think he said: You fucked the video was over",2020-04-02T09:11:42Z,0
@tonystarc9567,Thank you brother....,2020-04-02T09:01:23Z,0
@raghavupadhyay7100,Where r u from,2020-04-02T08:55:27Z,0
@raghavupadhyay7100,Where r u from,2020-04-02T08:55:27Z,0
@hajji384,GPS,2020-04-02T08:13:27Z,0
@jean-michelcid9594,red coder... clealy a communist dog whisle lol,2020-04-02T08:12:51Z,0
@satthu7593,Helpful 👏,2020-04-02T08:01:41Z,0
@MultiKaloudis,I like the video because of your sense of humour 😆,2020-04-02T07:55:36Z,0
@lucasnogueira3232,I LOVE ur videos :3,2020-04-02T06:35:12Z,0
@mahatejvarma2998,Hey Errichto..Could u make videos on Digit dp.. or suggest a good resource for learning it.,2020-04-02T06:23:01Z,0
@anuranjankumar3989,"Yes yes yes ..... you are funny.
Loved it.😀😂",2020-04-02T06:16:40Z,0
@tannerbarcelos6880,I can print hello world in multiple languages. I can be red,2020-04-02T06:16:12Z,0
@FazeelUsmani,How much time it takes to become a red coder?,2020-04-02T06:14:06Z,0
@antopiahk8655,I'm moving to cpp from python. any recommendations for ide?,2020-04-02T05:08:05Z,0
@boongbaang1124,"Man I can just watch you speak. You're so humble, and  you speak with such calmness and confidence that makes me admire you so much. Lots of best wishes to you, and keep making these videos  for us.",2020-04-02T02:58:58Z,23
@yunjiehong4649,"The real question is, how to become a grey programmer? During New Years !",2020-04-02T01:30:23Z,0
@lifeisnotvibestv5124,exactly my professor 0:37,2020-04-02T01:23:06Z,2
@RishabhDeepSingh,ERrichto is best.,2020-04-01T23:35:05Z,0
@aanchalsharma5264,You are too good 😊,2020-04-01T22:57:29Z,0
@lisztk1928,"Thanks, it's really helpul
I'm a beginner but hopefully will be able to get to the top",2020-04-01T22:46:21Z,0
@piqueselio,I like those short videos where you share your experience and give advice. I find them very valuable :). Thanks for posting those and sharing ;).,2020-04-01T21:18:33Z,1
@ayushmahajan3389,"Errichto: It's a spoiler if something if from a category
Codechef Questions be like: So you want to buy an array for your ""friend"" birthday. LOL",2020-04-01T21:11:15Z,21
@thatoneguy6665,"Hey Errichto, loved the video, any chance you could do a video on how to setup a CP environment using Geany in windows?",2020-04-01T20:53:49Z,1
@jimmyshenmusic,Your t shirt looks great. Where can we buy it? At least we can have the same t shirt if having similar coding skills is not possible within a very short time.,2020-04-01T20:21:21Z,0
@AlexSav,"Just be
  a) Smart
  b) Fast
  c) Work a lot",2020-04-01T20:05:45Z,0
@abhishekabraham4107,Thanks a lot Errichto... I respect your skills and willingness to share your tips. Thank you. Goodluck,2020-04-01T19:59:03Z,0
@Anveshana837,Thanks one of the finest videos.,2020-04-01T19:47:37Z,1
@sauravkarmakar3704,0:34 what was that,2020-04-01T19:46:32Z,1
@MiketheCoder,"""Just do more problems"" - Errichto

You mean I can't just pay for a course online and expect to become an algo expert? /s",2020-04-01T18:53:03Z,171
@DharanAditya,Thanks Bro. It was really helpful.,2020-04-01T18:46:31Z,0
@andrewchen1744,Like tis video. Thank you!,2020-04-01T18:30:57Z,0
@lawrancej7473,You Look Great Brother,2020-04-01T18:27:35Z,1
@faraznaseem928,I_love_Tanya_Romanova .... aka ..... Bohdan Pryschenko.,2020-04-01T18:02:22Z,0
@markusbuchholz3518,"Thanks  you Errichto for your amazing channel. Great to follow you and also Clément Mihailescu, his channel and amazing portal AlgoExpert.io.",2020-04-01T17:57:56Z,0
@greenya84,"Why in the description it says ""5 simple tips..."" if i found only one -- ""practice a lot"". And for some reason 30 sec video shows to me as 4 min one, seems like some YouTube glitch.",2020-04-01T17:53:30Z,0
@msh104utube,"3:40, syntax error...",2020-04-01T17:19:34Z,1
@ajitesh764,"I think u forgot to turn on the monetization again.... Anyways I mentioned you were going to recommend something for ' Sufficient math needed for CP'... Would u mind replying to that request. Or may answer to that query in the next video...
A big thank u for ur effort to make these video :-)",2020-04-01T17:01:23Z,0
@StijoBitsInBytes,you are an inspiration for small youtubers like me,2020-04-01T15:58:35Z,0
@lelcetz7628,"step 1) learn how to code
step 2) read the communist manifesto
step 3) seize the means of production",2020-04-01T15:41:00Z,0
@jdhp3696,"Related to your thumbnail, can you do a video on your favorite / recommended programming books?",2020-04-01T15:39:30Z,4
@blackside7108,Please tell us what kind of math background do we need in programming?,2020-04-01T15:35:32Z,0
@wildanfajri9745,"I love your video now, cause you put some entertaiment element on it, That's gonna be easy to understand",2020-04-01T15:33:07Z,0
@gauravkumarpandit7022,"I find harder to select problems but I have selected some problems here .copy paste the below link in your browser

 https://www.notion.so/f980d682531e4e5d81989f6c6f618352?v=fb1be7d8ee824ed9a3ebe1772691286c",2020-04-01T15:28:23Z,0
@shivamjalotra7919,Cool,2020-04-01T15:23:02Z,0
@shahirabdullah5438,You are the best <3,2020-04-01T15:19:05Z,0
@arpitmishra8399,Is it rated was the first question of April Fool Contest today!,2020-04-01T15:13:27Z,1
@giuseppeguap7250,did u glitch at the end or,2020-04-01T14:43:10Z,0
@jurekogorek2484,does being good at Minecraft help?,2020-04-01T14:39:51Z,0
@carljustinemosquida9614,"While creating resume, would you put a bullet that describes "" Im a red coder at codeforces"" ? Or ""competitive programmer""",2020-04-01T14:31:35Z,0
@codepath-insights,love u errichto,2020-04-01T14:30:34Z,0
@raselhasan2433,"I think there is only one tips and that is solve solve and solve random problems that you mentioned first, anyway thanks.",2020-04-01T14:24:34Z,0
@rohitbakoliya,Most funniest video ❤️❤️,2020-04-01T14:21:38Z,0
@reddynishanth3936,Was the thumbnail part of April 1st too?,2020-04-01T14:17:28Z,0
@sakibshahon,NEED HELP!! How do know what is my current level or what level of difficulty should a problem have for me to solve?,2020-04-01T14:17:04Z,0
@hurshsingh4913,Hail  Errichto,2020-04-01T14:10:29Z,0
@ankushmitra5185,"I am just starting codeforces ,able to solve A,B in div 2 . How much time it can take to be a red coder .. (approx)",2020-04-01T14:05:55Z,0
@takamuramamoru7972,nice joke bro hhhh,2020-04-01T13:55:20Z,0
@ahidalgo94,2:15 Is it true they all listen to TWICE before contests?,2020-04-01T13:37:39Z,2
@Skanderthabet,So what book do you recommand plz ?,2020-04-01T13:36:24Z,0
@coderwanttobedesigner4788,a red... what xD,2020-04-01T13:25:43Z,0
@tuanva6484,I'm not good at math :(( how to reach red target :((,2020-04-01T13:11:03Z,0
@Amanmaverick,@Errichto how to gain interest in programming problems? I'm very bored of coding. Pls help.,2020-04-01T13:03:42Z,0
@sujalgupta6100,I just realised you made us April Fool with that book in the thumbnail.,2020-04-01T12:54:37Z,0
@hamza_x98,You did a joke.,2020-04-01T12:52:48Z,0
@josephnicholasalcantara3148,"Hey, great video. Just wanted to ask, DS and Algorithms are really my weakness, and I am already 30 years old, do you think its still not too late to start CP. Thanks",2020-04-01T12:52:31Z,1
@MrVoidHunter,Practice and don't waste huge time for thinking  if you beginner...,2020-04-01T12:50:40Z,0
@rentib9136,"If someone is interested in the text on Errichto’s shirt, it is - Ladies and gentelmen, this is a bear",2020-04-01T12:42:43Z,214
@_boris,Good man Errichto,2020-04-01T12:37:41Z,0
@cmp4727,first tip was great.Practice😂,2020-04-01T12:19:14Z,0
@Rez0rect1,Wow y'all are up early,2020-04-01T11:55:21Z,0
@arun_explores_vlogs,I see your sense you humour improved brother :) .,2020-04-01T11:51:04Z,8
@jenniefine9456,If we stuck on a problem then without waste time directly go to editorial😁 i like this part.,2020-04-01T11:38:34Z,1
@MindKnightSage,"Errichto has become funny!
What if he continues this even in his long streams?!",2020-04-01T11:37:37Z,6
@B1NARYS0LD1ER,Kamil is getting better in YT. He's become my favourite,2020-04-01T11:37:18Z,1
@fiziblank2609,Thank you for your knowledge.,2020-04-01T11:30:51Z,0
@iamtrash288,"Simple but very useful advice. I remember there was that one time when I couldn't solve a problem for a week and then I went ""To fuck with it, I'm so done"" and didn't write a line of code for like a month...",2020-04-01T11:20:06Z,1
@tanishqgupta1071,Hey Errichto can you suggest a book to learn c++ completely,2020-04-01T11:01:22Z,0
@hash1602,From which site to practice is best spoj or codeforces,2020-04-01T10:55:01Z,0
@_Ani_,"""Hello Programmers"" at the very end, with a faceshift",2020-04-01T10:52:31Z,20
@babayaga1698,🥺🥺🥺...Thankyou so much....🥺🥺,2020-04-01T10:49:29Z,0
@danilzashikhin3591,Kamil how much have you paid for 85k followers?,2020-04-01T10:44:47Z,1
@rishabhverma3926,Thnks buddy !!!! April is a good month to start with these tips on problems.,2020-04-01T10:43:38Z,0
@DurgeshKumar-pv6pm,First five seconds like : kat gaya,2020-04-01T10:43:17Z,0
@Kemot27,"Proszę państwa oto miś XDDDD
4:04 ZŁOTO",2020-04-01T10:42:47Z,0
@anna_inu,"I see useful the ""don't get stuck on a problem"". Better read the analysis than get frustrated and throw the computer away.",2020-04-01T10:42:08Z,22
@isobeyan,is this an april fool joke!! it's hard to believe,2020-04-01T10:40:40Z,0
@nguyencongthanh778,wow so inspiring,2020-04-01T10:32:41Z,0
@djmilen4o,Great video!,2020-04-01T10:19:26Z,0
@rexzohh,make a how to get started with programming,2020-04-01T10:18:25Z,0
@Justin49154,"Я,конечно,не знаю английский,но что он говорит я почему-то понимаю",2020-04-01T10:17:07Z,0
@pranshuprodipta2814,Thank you. It was very helpful.,2020-04-01T10:10:15Z,0
@-__--__,"Oh wow u are a programmer, but u know what is a pus*y? Hahahaha fckin virgin",2020-04-01T10:09:40Z,0
@truth_tablets,xD,2020-04-01T10:00:53Z,0
@TahsinAhmed-yj9ns,"really thought that it was a april fool joke, u got me there buddy! and as always nice video <3",2020-04-01T10:00:06Z,0
@gena8414,Errichto knows how to draw the Indian audience.,2020-04-01T09:56:26Z,8
@md.sayeedrahman2553,practice more! okay bye! tada! :D,2020-04-01T09:54:22Z,0
@mandeepvayeda8029,who is Tanya Romanova?,2020-04-01T09:53:46Z,0
@elandor3084,"errichto u 're the best
u make me fking laugh like a stupid",2020-04-01T09:52:34Z,0
@shubhamkumar6772,"Can you tell me In iterative dp, how to choose which loop place first and which loop i should place after.",2020-04-01T09:50:47Z,0
@xsharawi,i liked them all and will do them all,2020-04-01T09:49:02Z,0
@sophiesparkle2464,This make so so much sense and do love the video,2020-04-01T09:46:26Z,0
@IdliShambharDosaDosa,Lol....,2020-04-01T09:46:19Z,0
@mayankverma3690,"sir, can u make video on roadmap for competitive programming like first c++ then STL ,then what after?",2020-04-01T09:44:25Z,0
@carlosj3491,"So funny, I just stared there at my desk waiting for something else. I like a lot your videos, I hope you could make more videos in the future.",2020-04-01T09:33:47Z,5
@RohitSharma-bc3ce,Maybe lock down is a good time to start grinding for that. Thanks foe the tips @Errichto really needed those tips.,2020-04-01T09:30:57Z,0
@fxexile,0:33 you fuck the video is over,2020-04-01T09:30:08Z,0
@sandippal8088,I thought he's gonna say the only thing is practice practice anf practice.,2020-04-01T09:28:02Z,0
@suvadeepghoshal,Hey ericchto you have grown your domain so much why don't you activate moneytization,2020-04-01T09:25:47Z,0
@dhananjaychoudhary7836,That was the best pause I've ever seen/heard,2020-04-01T09:24:02Z,2
@uditnair90,I just love you..,2020-04-01T09:23:49Z,0
@ItumelengS,"Hello Programmer, I will but not now",2020-04-01T09:23:35Z,0
@xordux7,Meh 😑 I didn't knew it's 1st April till I saw this video...and you managed to fool me twice 😏,2020-04-01T09:21:24Z,0
@syeda.k.2934,"Nice, add more bloopers in end.",2020-04-01T09:19:13Z,0
@shahbazalam3722,Could you please make a video on this concept. https://codeforces.com/blog/entry/68953,2020-04-01T09:12:26Z,0
@muhammadtahsinamin2445,"how to improve my conceptual basic on stl 
In c++.
Plz Give some resources..",2020-04-01T09:06:59Z,1
@gamegamesoumic,2:55 How much time to wait if I get stuck? 20 to 30 minutes?,2020-04-01T08:59:37Z,0
@ananyamahato479,"What about the book which u are holding.
Is it good for beginners???",2020-04-01T08:54:01Z,0
@pranjalagnihotri6072,"When red coders don't remember exactly what they have done to become blue from green, because its  quite some time now for them then they say { ""practice is only the key"" , ""solve lot of problems"" }  and it means really ""nothing"". You can ask a blue coder instead who recently got there he will tell you exact things. (** But Errichto seems to remember a lot ** )",2020-04-01T08:52:04Z,57
@tomas95go,"No BS, no clickbait, straight to the point plus a little joke, nice.",2020-04-01T08:50:30Z,1
@mahdi7d1rostami,because of my math background i enjoy soving project euler problems. But lots of the times these problems are related to some specific math concepts that you should check and learn about it. So it takes more for me solving project euler problems but i like it.,2020-04-01T08:47:29Z,0
@angiras07,Is clrs outdated and should i not use it as reference,2020-04-01T08:46:20Z,0
@marcuslee678,"Bro, did u just forgot to edit the last part?😂",2020-04-01T08:44:54Z,0
@RAJPATEL-nm9nz,Errichto u r very nice person. I mean very down to earth person,2020-04-01T08:43:01Z,0
@clem,"Those first 30 seconds are #truth though—and not just for competitive programming, but for any skill or endeavor. The rest is all bonus 😛",2020-04-01T08:41:10Z,2760
@rahulsbhatt,"The joke at start was really good, haha a good video as always Errichto!",2020-04-01T08:40:05Z,4
@siddharthajain193,"@Errichto I know practice is everything but there are some topics which come rarely such as digit dp , whenever question of it comes it's very hard to implement it as it has been a long time when I learn that topic.
What you do in this case.",2020-04-01T08:39:26Z,0
@jameshello38,Errichto what's your iq? If you have great iq than I won't bother trying. 😒,2020-04-01T08:39:22Z,0
@TheMasterfulcreator,It would be funny if the left part of the graph was labeled 'stupid people'.,2020-04-01T08:38:13Z,1
@karanb2067,first,2020-04-01T08:36:45Z,0
@sahilsharma2952,Humour in your videos is rising exponentially.,2020-04-01T08:35:05Z,1
@MoMoCoCo69,"best video to start april 


go beyond plus ultra",2020-04-01T08:35:02Z,0
@whitepaperdecode101,1st one is the best tip,2020-04-01T08:33:35Z,0
@Player-ub9tg,"The most  important  tip :

Watch Errichto's videos.",2020-04-01T08:31:27Z,95
@AnujTripathi9,Sir please want your WhatsApp number,2020-04-01T08:30:52Z,0
@prarinamderia309,Piz make video on tries,2020-04-01T08:30:52Z,0
@HelloWorld-sy4yc,"I've 1800+ in the codeforces. And I wanna say, that u r right and tell us about my preparation. Guys, just thorough preparation...",2020-04-01T08:30:41Z,7
@AvinashKumar-mk2ti,Can you tell that approximately how many problems you have solved till now? I am just asking for some motivation.,2020-04-01T08:30:03Z,0
@godryk7594,Czy ty nie jesteś przypadkiem Polakiem?! Ta bluzka daje sporo do myślenia :) ;p,2020-04-01T08:23:43Z,0
@ezwalduzumaki3161,"errichto, i wanna find a fulltime job this year, front end dev, and after that i wanna do c++ and cp in my freetime :D",2020-04-01T08:22:43Z,1
@mehulkasliwal7036,"It would've actually been so cool if you ended the video at you have to practice, considering April fools...",2020-04-01T08:22:10Z,0
@Roadto10x,"You got me Errichto
Thought you would end at Practice!",2020-04-01T08:21:19Z,0
@aakashyadav8327,Hello @Errichto i love your videos..but please can u increase the volume...in adobe premiere pro u can do that by right click ur track--audio level and enter a positive no,2020-04-01T08:19:25Z,0
@vincentvega3076,"Step 1: Buy a red computer
Step 2: Make your wallpaper red
Step 3: Get VS code and set a red theme 
Step 4:  Learn a red programming language (Scala, R and anything that has a red logo)
Step 5: Learn a red JS framework (Angular)
Step 6: Create an app and make sure it's red
Congrats, you are now a red coder
This video is just trash - follow all the steps above and you will be a red coder in no time",2020-04-01T08:19:13Z,0
@zldaq5040f,Great video!,2020-04-01T08:17:36Z,0
@amankrx,"I see you use scanf and printf. Is there a problem in using cin, cout using ios_base::sync_with_stdio(false). 
Or you are just confident with scanf and printf.",2020-04-01T08:16:56Z,0
@ChompNom,glad to see you trying to get into the youtube game,2020-04-01T08:13:40Z,0
@shahimran7421,sir started learning programming c++ language,2020-04-01T08:12:18Z,0
@haythamkenway8343,"Hey, Errichto currently I'm learning backend web development as I'm already a front-end developer. Should I focus on competitive programming rather than web development???",2020-04-01T08:10:37Z,0
@tagberli,"It's awesome to see that you developing in video content, editing, adding some jokes and also don't lose usefulness of content, thank you for your advice, but also it's a little bit obvious and I just watched this video because they are awesome =)",2020-04-01T08:07:31Z,2
